,text
0,"No. La primera vez que gané... pues me sentí bien y ya está. Que... me gusta, me gustaba. ¿Yo mismo? Pues... que... yo opino que, yo creo que él piensa que los videojuegos están para ganar, así que, que le gusta ganar. Que... que no me deberían de gustar los videojuegos, me parece, que no debería estar tanto con los videojuegos o que no esté mucho. Pues como que me desahogo, como... No voy a decir como la salida, pero como... como... una relajación, despejar la mente. La verdad es que no lo recuerdo. Es un programa que permite el entretenimiento de la persona que lo utiliza. Pues, que hago una cosa... una cosa que... no sé la verdad que decir. Pues... como van sucediendo las cosas... Pues, básicamente lo mismo y... y me siento orgullosa de mí misma también. Sí. Pues, a veces siento frustración porque... porque ni siquiera entiendo como es que en vez de ganar he perdido. Sentí que... que... bueno, pues que era una partida perdida y ya está. Porque normalmente pierdo, pero entiendo que... que tampoco está tan mal perder cuando ganas pues ganas. Pues, no lo sé. No. Bueno, a veces sí, pero casi nunca. No sé, ¿por qué tendría que darme miedo? No."
1,"Me desconecto un poco de lo que es... el estrés de día a día y me divierto un rato con quien sea, no suelo jugar sola. Pues... igual, más o menos, no sé, no se pierde eso de satisfacerse ganando. Pues satisfacción de ganar. Porque... no lo sé, la verdad. No lo sé. Porque... no sé, no... nunca me ha dado esa situación de sentirme mal o... por perder o lo que sea, no... me da igual, siempre ha sido pues divertir. No. Pues no. No. Pues me divertí porque primero, como empecé con mis padres, pues me lo pasaba bien y eso y luego ya con mis amigos pues te pasas momentos divertidos y todo. Aunque no hace falta que sea en un videojuego, puede ser en más sitios. Pues opinan como yo, que no hay que pasar tanto tiempo pegado a una pantalla y que se puede pasar más tiempo de disfrute de otras formas y ya está, es simplemente eso. Y que es divertido pero no hay que centrarse tanto en eso, que hay otras formas más tradicionales de pasárselo bien en familia y todo. Pues empecé bastante mayorcita ya y primero empecé con mi padre y con mi madre, a lo típico de Just Dance jugar juntos, todos en familia y luego pues, luego ya empecé con mis amigos, pero empecé ya mayorcita a los 14 o así, no empecé antes. No comparto su... su forma de mirarlo, que es pasar todos los días, un rato jugando, lo típico de las misiones diarias, meterse todos los días a jugar un rato, no es mi... mi forma de vida, prefiero un rato, lo poquito gusta y lo mucho cansa, siempre digo. No sé. Es que no... no... no me suelo ni enfadar ni frustrar ni ponerme triste ni nada. Simplemente es una forma de pasar el rato y ya está, no hay que enfadarse por esas cosas. Es una forma de entretenerse, una aplicación en la que tú te puedes entretener y pasar el rato y no sé... No. Si es online sí, pero si no, no. Lo mismo, me da igual, es un rato de divertirse. Pues la verdad, sobre todo, reírme de mí misma porque no soy muy buena y charlar con... aprender trucos nuevos y todo. Pues no lo suelo jugar diariamente, pero cuando... cuando lo juego me divierto. Me dio un poco igual, la verdad, era una forma de divertirse, ya está."
2,"Pues diversión a veces también y también a veces que juego cuando me aburro también, ya más que nada. Que no les gustan nada los videojuegos. Pues que les gustan mucho y que se lo pasan bien. Pues diversión y... ya está. Mucha emoción por haber ganado. Nada, que me divertían y en la pandemia también. Pues nada luego lo vuelvo a intentar hasta que ya gane. Sí. No sé... que ¿qué me hace feliz, no? no sé. No sé. Decepción. Que es una cosa que se usa para entretenerse y para poder jugar con tus amigos también y... y no sé que más. Cuando pierdo muchas veces a lo mejor me enfado. Emoción también todavía. Perder muchas veces. Porque cuando juego a videojuegos pues me lo paso bien, no... No. No sé, yo no pienso que tengan mucho peligro. No."
3,"Le explicaría que es como una realidad virtual que se puede instalar mediante un PC, un móvil, una consola y que pues depende de... hay varios tipos de videojuegos, varios tipos de categorías de acción, de yo que sé, de deportes, de creatividad y ya depende de sus gustos pues va eligiendo un juego y ya digamos que es un juego de un shooter, es un juego de ese tipo de entre equipos por ejemplo un Call of Duty que es un shooter, entonces el chaval le gusta jugar a los disparos, para eso, para sentir el juego, para interaccionar con los consejos textuales y poco a poco empieza a mejorar. Pues yo empecé a jugar videojuegos desde muy chico la verad, desde muy pequeño pues me dijeron que comprara la PS3 y de ahí hacia adelante pues empecé a entender más el mundo de las consolas y tal hasta el punto ya de tener un PC y de buenos componentes para jugar buenos videojuegos. No sé, como que hay tanto tiempo para jugar y dar, pues como que a acostumbrarse, y pues si pierdas perdí y si ganas pagas. Hay momentos que sí opino que es algo bueno, porque no sé, es una forma de tenerlo o lo que sea, pero ya cuando es muy excesivo pues hay que controlarlo, y si no, pues está 8-9 años dentro del ordenador, no te importa mucho. No, no. Sí, claro que sí, bastante. No sé, las horas de estar ahí jugando o no sé, es difícil de explicarlo, verdad yo hice un juego de construcción, pues es el charle a ver qué la hacen ahí, pasar las horas construyendo y por lo más que todo ahí pasar el tiempo con tus amigos, que es lo que yo hago. No, pues no he sentido nada, me mataron o lo que sea y ganaron, ahí estoy como que me había matado y ya está, me volví a lo que es. No sé, porque lo veo ya muy normalizado, para no ser triste. No sé, ya como los juegos es tan natural, pues ya leyendo de qué categoría son, pues ya sé que me inventaría esta costumbre a quemar el contrato dentro del videojuego. No, pero sí que resisto bastante a veces, por cualquier cosa. No. Lo mismo ya me río, es que quedo con mis amigos, que pierdo con ellos cualquier partida y ya está, me pongo a lo que sea y los amigos. Pues la verdad un poquito de emoción, porque no sé, es como que de tanta tensión y que te salga victoria o lo que sea, como que te emociona un poco. Ahora no es como antes, es como que tanto tiempo jugando a cualquier jodido juego que sea y es como que me he acostumbrado a ver el set. Como que uno pierde ya el entusiasmo, pero sabes que hay buenos momentos dentro del partido. Ahora como que estoy con mis amigos o lo que sea, me meto en cualquier videojuego y nos ponemos hablar o aprender de lo que pasa o hacer cualquier cosilla. No sé, me sentí tranquilo ahí en un sofá, cuando era pequeño no se enteraba mucho de cómo era, pero como que es una forma de perder tiempo ahí, que pasas las horas un poquito divertidas, delante de la pantalla o lo que sea. Bien, opino positivamente la verdad, o sea, todo el mundo aunque no lo sepa así, si puede algo o algún juego dentro del móvil o lo que sea, y conscientemente se pone a jugarlo y le acaba gustando."
4,"Porque es como... No sé, o sea, no le veo importancia y es algo para mí como sin sentido. Para lo que hago en mi vida. Depende del juego pues siento un poco aburrida y el hecho de saber que no es muy bueno no me siento tan bien. Pues sentí emoción, me sentí alegre y vivía pues feliz. La verdad es que no le doy mucha importancia, es como que pasa y ya está. Pues cuando empecé a jugar videojuegos estaba como aburrida, osea no tenía otra por así decirlo otra cosa que hacer. Y como vi que la gente solía jugar videojuegos pues quise probar. Pues me sentí muy bien la verdad porque es como que fue un logro para mí. Pues creo que piensan que está bien, o sea, que es algo malo para nosotros, o sea, les gusta y por eso juegan, pero es todo lo contrario. Pues igual, me da igual. Ahora... no tanto la verdad. No tanto. Ahora... más o menos, depende. Pues sentí frustración, enfado y por así decirlo como que no me sentí bien conmigo misma. Pues un videojuego es una forma en la que los adolescentes normalmente usan para distraerse. Pues pienso que es una forma de perder el tiempo. Y por otra parte, creo que piensan que es algo malo para nosotros, que juguemos a temprana edad. Porque... Simplemente no... No le veo importancia. Si pierdo a veces, sí me enfado, pero no. Porque pienso que es como al revés. La gente, por así decirlo, juega para ponerse feliz o estar feliz. No. Porque los videojuegos yo los veo como una forma para distraerse o pasar el tiempo. No los veo como para tener miedo. No."
5,"Porque no suelo jugar entonces cuando juego es cuando estoy aburrida, entonces tampoco... No sé. No sé que decir. No, lo hago para quitarme el aburrimiento. Nada, igual satisfacción porque no suelo jugar. No sé. Nada porque es que no juego. Como satisfacción, ¿no? por haber ganado después de haber conseguido... Que son malos porque los niños enganchan mucho a los videojuegos. Porque no sé. No sé. Porque estoy entretenida, no estoy... No. No. Que mis compañeros de clase jugaron a videojuegos. Nerviosa porque no sabía controlar las cosas de los juegos. No. Que están guay, que... que llevan, en plan que la gente lo utiliza y juega. Porque... a ver, depende del videojuego, si son videojuegos que más o menos me han hablado y se de que van no me da miedo, si es algo que no conozco. Sí, porque no sé de qué va ni nada. Pues es un juego que se usa... en un medio electrónico que pues sirve para alcanzar niveles o conseguir objetivos."
6,"Pues yo le diría que es un... a ver, que es como algo que tú puedes utilizar o en tu móvil, te haces en tu móvil o en tu play para entretenerte y que es como una película pero interactiva. No. Pues porque me entretiene y como que me aparto un poco de los problemas que tengo de la sociedad y todo eso. Sí. Pues pienso que es simplemente un videojuego y que no pasa nada. Pues... ellos a veces opinan que eso es una pérdida de tiempo y que tengo que aprovechar mi tiempo en otras cosas. No. Pues porque como sé que es un juego y no como mis otros amigos que cuando se ponen a jugar se enfadan muchísimo, pues como sé que es un juego, pues me da igual si pierdo, si gano. No. Pues porque me entretiene... como me entretiene y todo eso, pues y como juego a juegos que me gustan, vaya, me siento feliz. Porque sé que está... que entre el videojuego y yo hay por medio una pantalla y no... no va a pasar nada. Pues me sentí muy feliz también porque esa partida era difícil y me sentí muy bien. Me sentí muy bien y entretenía y me gustaba. Bien, me gusta y me entretiene... sí. Pues me hizo empezar porque mi padre de pequeño, bueno, de pequeño, cuando tenía ya 16 años por ahí se compró una Play y entonces yo casi siempre veía a mi padre y a mi hermano mayor los veía jugar entonces de vez en cuando mi padre y mi hermano me dejaban jugar y eso. Siento que ahora como he jugado tanto pues me parecen fáciles y bueno, algo normal. Me sentí mal y... me sentí mal y triste. Yo creo que a ellos les gusta y también les entretiene jugar videojuegos. Bueno, hay algunos que no les gusta jugar videojuegos, pero la verdad no sé por qué."
7,"Pues, yo qué sé... no sabría describírtelo, es que depende bastante de que videojuego sea o que quieras hacer en ese momento, pues, no sé, es que no sabría describírtelo, no... Tampoco es tan trascendental para mí para que me preocupe tanto esa sensación. Sí, para entretenerme sí, lo mismo que ver una película o una serie o pasar tiempo con los amigos. Pues alegría como cualquier persona, ¿no? de... que te da en un juego de mesa y puedes ganar al que tienes alrededor tuyo pero... o también a la hora de conseguir un logro en un deporte, lo que sea, es satisfacción. Pues igual, no ha cambiado, la misma sensación que antes. Frustración pero no mucho más, no... sin tristeza ni nada, como que no podía llegar a lograr algo y querer conseguirlo pero no calaba mucho más, al final del día no me preocupaba, no me provocaba ningún problema. Más o menos lo mismo, no ha cambiado. Ahora no sabría decirte porque llevo bastante tiempo sin jugar a videojuegos pero para lo que más juego es para lo que te he dicho antes, para jugar con los amigos cuando vienen a mi casa o lo que sea y siento, yo que sé, confort, más bien para añadirle un plus más a la relación que llego a tener en ese instante cuando estoy con los amigos. Yo creo que es porque no le doy tanta importancia a ello. La primera vez que jugué... lo que sentí fue bastante... alegría, podía meterme en un mundo diferente al que tenía pero sin llegar al extremo de pensar que ese era mejor mundo que el que tenía alrededor mío, más bien para entretenerme como si hubiese una película, no mucho más. Es que tampoco no... no es que tenga gran importancia en mi vida, pues si puedo jugarlo lo juego, sino, pues no, tampoco hay mucho más. No. No, igual que antes... los juego cuando quiero o cuando estoy aburrido, no mucho más. Pues es como una herramienta de entretenimiento, dependiendo de que gustos tengas o que experiencia quieras tener, pues puedes optar a diferentes tipos de videojuegos, si quieres tener un videojuego más interactivo podría ser los videojuegos online o los videojuegos en solitario que puedes jugar siguiendo una línea narrativa. Yo en verdad no llego a jugar tanto videojuegos, lo que juego más son juegos de móvil para entretenerme en los ratos libres y no tengo una consola en sí, la única que tengo es una antigua que tengo un videojuego antiguo de ya hace 10 o 20 años que lo hago para entretenerme o a lo mejor cuando vienen amigos míos jugamos a un FIFA antiguo o algún juego de carrera y ya está, para eso nada más. Pues de mi entorno, igual que yo, que no pasa a mayores, que es un entretenimiento y ya... y ya los que estén un pelín más metidos en ese mundo, pues pensarán que es como un deporte o lo que sea, cosa así. Pero para mí no tiene mucha más transcendencia, es igual que mis padres, yo pienso que es pues una herramienta más de entretenimiento. Pues perder o no conseguir una meta que esté ahí, que esté marcada en el juego. No, como mucho frustración, lo que te he dicho antes a la hora de perder, pero ya de ahí no pasa nada a mayores. Ellos llegan a pensar que es una simple... un simple entretenimiento, como un juego de mesa, ajedrez o un libro."
8,"Porque no sé, no... pues no hay nada que me ponga triste en ellos, no sé. No, aunque a veces antes si perdía una partida pues sí me mosqueaba, pero... no era tampoco, era solo en ese momento que me daba coraje de haber perdido. Pues me da igual también. Pues a veces como que me paraba así, pero tampoco... mucho, pero decía ""joder"", no se qué y pues lo volvía a intentar. Pues me sentía, pues no sé, feliz, pero no superfeliz como si hubiese sido algo muy muy importante, sino pues no sé. Ahora me da igual. No, solo me distrae. Pues no sé, porque pues en el móvil me metía en el proyector y pues si veía alguno que me gustaba pues me lo descargaba y empezaba a jugar. Pues no sé, un juego donde puedes jugar a, yo qué sé, diferentes cosas de superar niveles o... no sé, pues eso. No. No. Pues porque no sé, tampoco es una cosa que, no sé, como si se fuese, no sé. Pues tampoco nada, es que no sé, no siento nada. Pues porque no es nada malo, no sé. Pues no sé, no sentí nada. Pues no sé, es que yo creo que es que de mi edad, no sé, como que apenas jugamos a juegos, vemos más redes sociales así. Pues cuando perdía. Pues... ¿mis padres? Pues no sé, me dicen que tampoco... es que... pues no sé, me dicen que... que jugar en exceso pues no es bueno y pues me... no sé, casi todos los juegos me dicen que son tonterías."
9,"A mí como tal me gusta jugar a los videojuegos, pero a mí sí me hace feliz. Pues que juego con mis amigos, que nos divertimos, pasamos el rato de... hasta que nos vamos al fútbol, inglés, hasta que quedamos para salir a dar una vuelta, como un hobby. Pues porque hay veces que cuando juego con mis amigos estoy acostumbrado a que me ganen, que no... que ya como que los videojuegos a ver, es como algo divertido, pero que a la misma vez no lo es tanto. Pues lo mismo que yo, que son divertidos, que nos lo pasamos bien, que es muy buen pasatiempo, etcétera. Pues que yo de pequeño, mi padre tenía una play y como me llamó la atención y yo lo veía jugando y yo le dije ""¿puedo probar?"" y me dejó jugar una partida y empezó a gustarme y ya me... empezaron a gustar los videojuegos. Pues mis padres opinan que es como una nueva tecnología que los deja a las personas mayores tranquilos y que tú vas a tu rollo. Como algo nuevo, extraño, porque no sabía como utilizarlo, divertido. Pues ahora no siento nada porque a ver, ya... estoy ya más acostumbrada como a ganarlas, pero como que si pierdo alguna no... me importa más o menos poco. Pues que es normal. Pues sentí de como que me cabreé... enfado como... que me daba ganas de dejar de jugar y eso. Pues depende del videojuego, hay algunos videojuegos en los que me entretengo más, otros en los que me entretengo menos, pero que casi todos los videojuegos que yo suelo jugar son divertidos. Pues como alegría, alegría con la gente que jugaba, como... algo nuevo que me hizo sentir bien. Pues porque estoy con gente que me cae bien, que me alegra, que si pasa algo me ayuda. Actualmente no me enfada, pero antes sí me enfadaba, cuando mi padre me ganaba. No, al revés, me hace feliz porque estoy con gente que me agrada y que me divierto con ellos. Porque ya llevo mucho tiempo jugando y ya estoy acostumbrada. No. Pues yo le diría que es una cosa que tú entras como en un mundo virtual y tú ahí te diviertes y tienes tus cosas para entretenerte."
