,Términos,enfado.3,miedo.3,alegría.3,tristeza.3
0,abandono,"3,30","3,33","1,03","4,43"
1,aborto,"1,87","2,90","1,67","3,50"
2,abrasador,"1,77","2,17","1,37","1,53"
3,abrumado,"2,27","2,50","1,50","2,67"
4,abundancia,"1,20","1,73","3,67","1,37"
5,abuso,"4,37","4,07","1,17","4,20"
6,accidente,"3,13","3,83","1,03","4,17"
7,acelerador,"1,37","1,90","1,90","1,23"
8,acoso,"3,90","3,93","1,13","3,70"
9,acogedor,"1,10","1,13","4,07","1,20"
10,acogedora,"1,13","1,23","4,33","1,26"
11,admiración,"1,30","1,43","3,67","1,37"
12,veneración,"1,78","1,65","1,52","1,70"
13,adoración,"1,60","1,60","2,97","1,50"
14,adulterio,"3,47","2,60","1,23","3,40"
15,acusar,"3,52","3,13","1,19","3,13"
16,afortunadísimo,"1,33","1,07","4,10","1,13"
17,afecto,"1,20","1,43","4,37","1,50"
18,agonía,"2,20","3,07","1,07","3,60"
19,agradecido,"1,03","1,07","4,30","1,10"
20,agradar,"1,07","1,30","4,43","1,13"
21,agresión,"4,31","3,93","1,10","3,48"
22,agresivo,"3,90","3,40","1,23","2,87"
23,agudo,"1,57","1,73","1,53","1,40"
24,ahogar,"3,20","4,37","1,00","3,60"
25,aislamiento,"2,37","4,00","1,10","3,77"
26,aguja,"1,50","2,17","1,13","1,37"
27,alarma,"2,34","3,23","1,45","1,86"
28,alegría,"1,00","1,23","4,77","1,00"
29,alegrar,"1,03","1,43","4,73","1,07"
30,altercado,"2,79","2,93","1,07","2,25"
31,amante,"2,20","2,23","2,97","2,00"
32,amado,"1,40","1,97","4,33","1,37"
33,amargura,"2,70","2,57","1,00","4,43"
34,ambición,"1,80","1,93","2,73","1,67"
35,amar,"1,23","2,27","4,90","1,90"
36,amenazador,"3,70","4,27","1,00","2,40"
37,amenazar,"4,13","4,10","1,00","3,07"
38,amiga,"1,33","1,53","4,10","1,90"
39,amor,"1,63","2,60","4,70","2,23"
40,amigo,"1,20","1,57","4,53","1,53"
41,ángel,"1,17","1,07","3,10","1,50"
42,anhelo,"1,67","2,33","1,83","3,60"
43,aniquilar,"4,21","4,07","1,21","3,72"
44,ansiedad,"2,87","3,77","1,20","3,57"
45,ansioso,"2,23","2,80","1,33","2,47"
46,anorexia,"2,40","3,43","1,03","4,23"
47,antipático,"2,70","1,70","1,10","2,67"
48,apasionado,"1,40","1,60","4,17","1,23"
49,apendicitis,"1,59","3,59","1,07","2,69"
50,aplastar,"2,90","3,21","1,07","2,66"
51,araña,"2,333333333","3,533333333","1,166666667","1,5"
52,argumento,"1,57","1,80","2,37","1,50"
53,armonía,"1,00","1,03","4,10","1,24"
54,arma,"3,33","3,70","1,20","3,20"
55,arriesgado,"1,17","3,60","2,20","1,37"
56,asesinar,"4,13","4,23","1,00","3,73"
57,asilo,"1,82","2,89","1,64","3,68"
58,asustado,"1,87","3,73","1,03","2,97"
59,asustar,"2,90","4,11","1,62","2,00"
60,atacar,"3,93","3,57","1,20","2,50"
61,ataque,"3,13","3,50","1,43","2,53"
62,aterrorizar,"3,41","4,59","1,07","2,93"
63,aterrorizado,"2,47","4,77","1,10","2,63"
64,aturdido,"1,80","2,83","1,17","2,03"
65,ausencia,"2,17","2,93","1,33","4,03"
66,auténtico,"1,37","1,50","3,87","1,30"
67,avalancha,"1,70","3,73","1,17","1,83"
68,avergonzado,"2,33","3,00","1,20","3,03"
69,avispa,"2,27","4,07","1,03","1,47"
70,bailar,"1,17","1,30","4,13","1,13"
71,baile,"1,42","1,65","4,20","1,48"
72,bancarrota,"2,90","3,50","1,00","3,50"
73,bastardo,"2,10","1,60","1,07","2,23"
74,bendecir,"1,23","1,23","2,20","1,43"
75,bebé,"1,32","1,87","4,55","1,29"
76,belleza,"1,23","1,40","3,87","1,57"
77,bengala,"1,50","2,37","2,07","1,20"
78,bendición,"1,37","1,17","2,50","1,30"
79,bienestar,"1,00","1,14","4,66","1,00"
80,beso,"1,10","1,30","4,27","1,47"
81,bestia,"2,37","3,30","1,23","1,63"
82,boda,"1,10","1,93","4,13","1,57"
83,bisturí,"1,53","3,40","1,13","2,20"
84,blasfemia,"2,92","1,77","1,08","2,42"
85,bombas,"3,37","4,50","1,10","3,37"
86,bofetada,"4,10","3,10","1,20","3,03"
87,bombardear,"3,70","4,47","1,00","4,30"
88,bondad,"1,27","1,43","4,10","1,27"
89,arrasar,"2,57","2,60","2,17","2,10"
90,bote,"1,28","1,55","2,55","1,28"
91,bruja,"1,50","1,97","1,87","1,33"
92,brutal,"2,37","2,83","1,87","1,90"
93,brutalidad,"3,77","3,43","1,17","3,40"
94,bueno,"1,07","1,10","4,03","1,13"
95,caimán,"1,70","3,67","1,33","1,43"
96,calentar,"1,57","1,60","2,33","1,23"
97,caída,"2,50","3,00","1,17","3,03"
98,calma,"1,00","1,30","3,90","1,40"
99,calor,"1,60","1,23","3,57","1,27"
100,campeona,"1,00","1,03","4,00","1,03"
101,cañones,"3,17","3,30","1,27","2,53"
102,campeón,"1,07","1,17","4,57","1,27"
103,cáncer,"3,67","4,80","1,03","4,63"
104,cañón,"3,17","3,27","1,50","2,67"
105,caricia,"1,20","1,23","4,53","1,40"
106,caprichoso,"2,47","1,31","1,38","2,07"
107,carnicería,"1,93","1,80","1,30","2,27"
108,casa,"1,23","1,23","3,77","1,33"
109,carnicero,"1,00","1,33","1,40","1,10"
110,castigar,"3,47","3,33","1,07","3,27"
111,castigo,"3,87","3,83","1,03","3,83"
112,catástrofe,"3,07","4,60","1,00","4,73"
113,celebrar,"1,10","1,40","4,47","1,40"
