,Términos,enfado.4,ansiedad,tristeza.4,positiva,negativa
0,abandono,0.0,0.0,1.0,0.0,1.0
1,abrumado,0.0,0.0,1.0,0.0,0.0
2,abuso,1.0,0.0,0.0,0.0,1.0
3,accidente,0.0,0.0,0.0,0.0,0.0
4,absorta,0.0,0.0,0.0,0.0,0.0
5,absortas,0.0,0.0,0.0,0.0,0.0
6,absortos,0.0,0.0,0.0,0.0,0.0
7,acoso,0.0,1.0,0.0,0.0,1.0
8,admiración,0.0,0.0,0.0,1.0,0.0
9,veneración,0.0,0.0,0.0,0.0,0.0
10,adoración,0.0,0.0,0.0,1.0,0.0
11,adorar,0.0,0.0,0.0,1.0,0.0
12,adivinar,0.0,0.0,0.0,0.0,0.0
13,afligirse,0.0,0.0,1.0,0.0,1.0
14,afortunadísimo,0.0,0.0,0.0,1.0,0.0
15,agitación,0.0,1.0,0.0,0.0,1.0
16,afecto,0.0,0.0,0.0,1.0,0.0
17,agitado,0.0,1.0,0.0,0.0,1.0
18,agarrar,1.0,0.0,0.0,0.0,0.0
19,agonizante,0.0,0.0,0.0,0.0,0.0
20,agitada,0.0,1.0,0.0,0.0,1.0
21,agitadas,0.0,1.0,0.0,0.0,1.0
22,agitados,0.0,1.0,0.0,0.0,1.0
23,agotada,0.0,0.0,0.0,0.0,0.0
24,agotador,0.0,0.0,0.0,0.0,0.0
25,agotadas,0.0,0.0,0.0,0.0,0.0
26,agotado,0.0,0.0,0.0,0.0,0.0
27,agotados,0.0,0.0,0.0,0.0,0.0
28,agrada,0.0,0.0,0.0,1.0,0.0
29,agradecer,0.0,0.0,0.0,1.0,0.0
30,agravación,1.0,0.0,0.0,0.0,1.0
31,agravado,1.0,0.0,0.0,0.0,1.0
32,agravante,1.0,0.0,0.0,0.0,1.0
33,agresión,1.0,0.0,0.0,0.0,1.0
34,agradeciendo,0.0,0.0,0.0,1.0,0.0
35,agrava,1.0,0.0,0.0,0.0,1.0
36,agresivo,1.0,0.0,0.0,0.0,1.0
37,agravar,1.0,0.0,0.0,0.0,1.0
38,agresiva,1.0,0.0,0.0,0.0,1.0
39,agresivamente,1.0,0.0,0.0,0.0,1.0
40,ahogar,1.0,0.0,0.0,0.0,1.0
41,ahogo,1.0,0.0,0.0,0.0,1.0
42,airado,1.0,0.0,0.0,0.0,1.0
43,aislamiento,0.0,0.0,0.0,0.0,1.0
44,aislar,0.0,0.0,0.0,0.0,1.0
45,ahorcado,0.0,0.0,0.0,0.0,0.0
46,alabado,0.0,0.0,0.0,0.0,0.0
47,alarma,0.0,1.0,0.0,0.0,1.0
48,alcoholismo,0.0,0.0,0.0,0.0,0.0
49,alegrarse,0.0,0.0,0.0,1.0,0.0
50,alegría,0.0,0.0,0.0,1.0,0.0
51,alejado,0.0,0.0,0.0,0.0,0.0
52,alegrar,0.0,0.0,0.0,1.0,0.0
53,alegraste,0.0,0.0,0.0,1.0,0.0
54,alentar,0.0,0.0,0.0,1.0,0.0
55,alegrías,0.0,0.0,0.0,1.0,0.0
56,alentado,0.0,0.0,0.0,1.0,0.0
57,amada,0.0,0.0,0.0,1.0,0.0
58,amante,0.0,0.0,0.0,0.0,0.0
59,amadas,0.0,0.0,0.0,1.0,0.0
60,amado,0.0,0.0,0.0,1.0,0.0
61,amargamente,1.0,0.0,0.0,0.0,1.0
62,amargura,1.0,0.0,0.0,0.0,1.0
63,ambición,0.0,0.0,0.0,0.0,0.0
64,ambicioso,0.0,0.0,0.0,0.0,0.0
65,amados,0.0,0.0,0.0,1.0,0.0
