,Términos,enfado,miedo,alegría,tristeza
0,abandono,1.0,1.0,0.0,1.0
1,abismal,0.0,0.0,0.0,1.0
2,abollado,0.0,1.0,0.0,1.0
3,abominable,0.0,1.0,0.0,0.0
4,abominación,1.0,1.0,0.0,0.0
5,aborrecer,1.0,1.0,0.0,0.0
6,aborrecible,1.0,1.0,0.0,0.0
7,abortivo,0.0,0.0,0.0,1.0
8,aborto,0.0,1.0,0.0,1.0
9,abrasador,1.0,0.0,0.0,0.0
10,abrumada,0.0,0.0,0.0,1.0
11,abrumador,1.0,1.0,0.0,0.0
12,abundancia,0.0,0.0,1.0,0.0
13,abuso,1.0,1.0,0.0,1.0
14,acantilado,0.0,1.0,0.0,0.0
15,accidente,0.0,1.0,0.0,1.0
16,acelerador,1.0,0.0,0.0,0.0
17,aclarar,0.0,0.0,1.0,0.0
18,acoso,1.0,1.0,0.0,1.0
19,acusando,1.0,1.0,0.0,0.0
20,admirable,0.0,0.0,1.0,0.0
21,admiración,0.0,0.0,1.0,0.0
22,adorable,0.0,0.0,1.0,0.0
23,veneración,0.0,0.0,1.0,0.0
24,adoración,0.0,0.0,1.0,0.0
25,adorar,0.0,0.0,1.0,0.0
26,adulterio,0.0,0.0,0.0,1.0
27,afán,0.0,0.0,1.0,0.0
28,afligirse,0.0,1.0,0.0,1.0
29,afortunadísimo,0.0,0.0,1.0,0.0
30,agitación,1.0,0.0,0.0,0.0
31,agitado,1.0,0.0,0.0,0.0
32,agonía,1.0,1.0,0.0,1.0
33,agonizante,0.0,1.0,0.0,0.0
34,agotador,1.0,1.0,0.0,1.0
35,agradecido,0.0,0.0,1.0,0.0
36,agravación,1.0,0.0,0.0,0.0
37,agravado,1.0,0.0,0.0,0.0
38,agravante,1.0,0.0,0.0,1.0
39,agresión,1.0,1.0,0.0,0.0
40,agresivo,1.0,1.0,0.0,0.0
41,lacerante,0.0,1.0,0.0,0.0
42,agudo,0.0,1.0,0.0,0.0
43,ahogar,1.0,1.0,0.0,1.0
44,ahogo,1.0,0.0,0.0,1.0
45,airado,1.0,0.0,0.0,0.0
46,aislamiento,0.0,0.0,0.0,1.0
47,aislar,0.0,0.0,0.0,1.0
48,alarma,0.0,1.0,0.0,0.0
49,alarmante,0.0,1.0,0.0,0.0
50,alcoholismo,1.0,1.0,0.0,1.0
51,alegación,1.0,0.0,0.0,0.0
52,alegrarse,0.0,0.0,1.0,0.0
53,alegría,0.0,0.0,1.0,0.0
54,alejado,1.0,1.0,0.0,1.0
55,alentar,0.0,0.0,1.0,0.0
56,alienación,1.0,1.0,0.0,1.0
57,alienado,0.0,0.0,0.0,1.0
58,alimañas,1.0,1.0,0.0,0.0
59,altercado,1.0,0.0,0.0,0.0
60,amante,1.0,0.0,1.0,0.0
61,amargamente,1.0,0.0,0.0,1.0
62,amargura,1.0,0.0,0.0,1.0
63,ambición,0.0,0.0,1.0,0.0
64,ambicioso,0.0,0.0,1.0,0.0
65,amenazador,1.0,1.0,0.0,0.0
66,amenazar,1.0,1.0,0.0,0.0
67,amistad,0.0,0.0,1.0,0.0
68,amor,0.0,0.0,1.0,0.0
69,anaconda,0.0,1.0,0.0,0.0
70,anarquía,1.0,1.0,0.0,0.0
71,anarquismo,1.0,1.0,0.0,0.0
72,anarquista,1.0,1.0,0.0,0.0
73,anatema,1.0,1.0,0.0,1.0
74,ángel,0.0,0.0,1.0,0.0
75,angelical,0.0,0.0,1.0,0.0
76,angina de pecho,0.0,1.0,0.0,0.0
77,angustioso,1.0,1.0,0.0,0.0
78,anhelo,0.0,0.0,1.0,0.0
79,animosidad,1.0,1.0,0.0,1.0
80,aniquilación,1.0,1.0,0.0,1.0
