,Términos,enfado.2,miedo.2,alegría.2,tristeza.2
0,abalancha,0.0,0.0,0.0,0.0
1,abominable,"0,53","0,797",0.0,0.0
2,aborrecer,"0,798",0.0,0.0,0.0
3,aborrecible,"0,729",0.0,0.0,0.0
4,abundancia,0.0,0.0,"0,83",0.0
5,accidente,0.0,"0,696",0.0,0.0
6,aclamación,0.0,0.0,"0,799",0.0
7,acogedor,0.0,0.0,"0,83",0.0
8,admirable,0.0,0.0,"0,764",0.0
9,admiración,0.0,0.0,"0,765",0.0
10,adorable,0.0,0.0,"0,898",0.0
11,veneración,0.0,0.0,"0,496",0.0
12,adoración,0.0,0.0,"0,765",0.0
13,adorar,0.0,0.0,"0,764",0.0
14,afán,0.0,0.0,"0,764",0.0
15,afligirse,0.0,0.0,0.0,"0,796"
16,afortunadísimo,0.0,0.0,"0,932",0.0
17,afecto,0.0,0.0,"0,899",0.0
18,agarrar,"0,231",0.0,0.0,0.0
19,agradecido,0.0,0.0,"0,764",0.0
20,agradar,0.0,0.0,"0,798",0.0
21,agradecer,0.0,0.0,"0,763",0.0
22,agravante,"0,463",0.0,0.0,0.0
23,agravar,"0,43",0.0,0.0,0.0
24,ahogo,0.0,0.0,0.0,"0,463"
25,aguantar,0.0,0.0,0.0,"0,364"
26,alarma,0.0,"0,596",0.0,0.0
27,alarmante,0.0,"0,595",0.0,0.0
28,alegría,0.0,0.0,1,0.0
29,alegrar,0.0,0.0,"0,966",0.0
30,alentar,0.0,0.0,"0,73",0.0
31,aliviada,0.0,0.0,"0,763",0.0
32,aliviadas,0.0,0.0,"3,763",0.0
33,aliviado,0.0,0.0,"1,763",0.0
34,aliviados,0.0,0.0,"2,763",0.0
35,amante,0.0,0.0,"0,731",0.0
36,amargura,0.0,0.0,0.0,"0,528"
37,ambición,0.0,0.0,"0,429",0.0
38,ambicioso,0.0,0.0,"0,363",0.0
39,amantes,0.0,0.0,"1,731",0.0
40,amar,0.0,0.0,"0,899",0.0
41,ambiciosa,0.0,0.0,"1,363",0.0
42,amenazar,0.0,"0,865",0.0,0.0
43,ambiciosas,0.0,0.0,"3,363",0.0
44,ambiciosos,0.0,0.0,"2,363",0.0
45,amiga,0.0,0.0,"0,898",0.0
46,amistad,0.0,0.0,"0,966",0.0
47,amor,0.0,0.0,"0,966",0.0
48,amigas,0.0,0.0,"0,898",0.0
49,amigo,0.0,0.0,"0,898",0.0
50,amigos,0.0,0.0,"0,898",0.0
51,amorosa,0.0,0.0,"0,898",0.0
52,amorosas,0.0,0.0,"0,898",0.0
53,angustioso,0.0,0.0,0.0,"0,763"
54,amoroso,0.0,0.0,"0,898",0.0
55,amorosos,0.0,0.0,"0,898",0.0
56,anhelo,0.0,0.0,"0,297",0.0
57,animosidad,"0,132",0.0,0.0,0.0
58,aniquilar,0.0,0.0,0.0,"0,463"
59,ansioso,0.0,"0,264",0.0,0.0
60,antagonismo,"0,364",0.0,0.0,0.0
61,antipático,"0,695",0.0,0.0,0.0
62,apasionado,0.0,0.0,"0,696",0.0
63,aplastar,0.0,0.0,0.0,"0,232"
64,apreciar,0.0,0.0,"0,629",0.0
65,araña,0.0,"0,463",0.0,0.0
66,armonía,0.0,0.0,"0,864",0.0
67,asar,"0,165",0.0,0.0,0.0
68,asesinar,0.0,"0,73",0.0,0.0
69,asombro,0.0,0.0,"0,396",0.0
70,atacar,"0,832",0.0,0.0,0.0
71,ataque,"0,899",0.0,0.0,0.0
72,aterrador,0.0,1,0.0,0.0
73,aterrorizar,0.0,"0,966",0.0,0.0
74,atroz,"0,697","0,696",0.0,0.0
75,atropello,"0,397",0.0,0.0,0.0
76,avergonzado,0.0,"0,297",0.0,0.0
77,belicoso,"0,53",0.0,0.0,0.0
78,beligerante,"0,396",0.0,0.0,0.0
79,berrinche,"0,629",0.0,0.0,0.0
80,bienestar,0.0,0.0,"0,932",0.0
81,bilis,"0,532",0.0,0.0,0.0
